,kWh,day_of_month,month,day_of_week,hour
2019-01-01 00:00:00,54.004,1,1,1,0
2019-01-01 01:00:00,57.139,1,1,1,1
2019-01-01 02:00:00,52.605,1,1,1,2
2019-01-01 03:00:00,53.1,1,1,1,3
2019-01-01 04:00:00,43.413,1,1,1,4
2019-01-01 05:00:00,39.792,1,1,1,5
2019-01-01 06:00:00,57.691,1,1,1,6
2019-01-01 07:00:00,55.196,1,1,1,7
2019-01-01 08:00:00,46.097,1,1,1,8
2019-01-01 09:00:00,53.993,1,1,1,9
2019-01-01 10:00:00,63.437,1,1,1,10
2019-01-01 11:00:00,83.69,1,1,1,11
2019-01-01 12:00:00,101.448,1,1,1,12
2019-01-01 13:00:00,100.225,1,1,1,13
2019-01-01 14:00:00,94.794,1,1,1,14
2019-01-01 15:00:00,112.56,1,1,1,15
2019-01-01 16:00:00,101.649,1,1,1,16
2019-01-01 17:00:00,95.952,1,1,1,17
2019-01-01 18:00:00,101.599,1,1,1,18
2019-01-01 19:00:00,115.515,1,1,1,19
2019-01-01 20:00:00,111.27,1,1,1,20
2019-01-01 21:00:00,99.482,1,1,1,21
2019-01-01 22:00:00,89.15,1,1,1,22
2019-01-01 23:00:00,72.751,1,1,1,23
2019-01-02 00:00:00,67.584,2,1,2,0
2019-01-02 01:00:00,58.206,2,1,2,1
2019-01-02 02:00:00,46.744,2,1,2,2
2019-01-02 03:00:00,47.855,2,1,2,3
2019-01-02 04:00:00,43.046,2,1,2,4
2019-01-02 05:00:00,47.362,2,1,2,5
2019-01-02 06:00:00,68.484,2,1,2,6
2019-01-02 07:00:00,65.667,2,1,2,7
2019-01-02 08:00:00,62.583,2,1,2,8
2019-01-02 09:00:00,82.273,2,1,2,9
2019-01-02 10:00:00,86.764,2,1,2,10
2019-01-02 11:00:00,81.843,2,1,2,11
2019-01-02 12:00:00,74.348,2,1,2,12
2019-01-02 13:00:00,95.477,2,1,2,13
2019-01-02 14:00:00,98.546,2,1,2,14
2019-01-02 15:00:00,88.697,2,1,2,15
2019-01-02 16:00:00,92.141,2,1,2,16
2019-01-02 17:00:00,80.741,2,1,2,17
2019-01-02 18:00:00,92.562,2,1,2,18
2019-01-02 19:00:00,119.617,2,1,2,19
2019-01-02 20:00:00,116.041,2,1,2,20
2019-01-02 21:00:00,107.069,2,1,2,21
2019-01-02 22:00:00,103.282,2,1,2,22
2019-01-02 23:00:00,84.721,2,1,2,23
2019-01-03 00:00:00,66.444,3,1,3,0
2019-01-03 01:00:00,59.05,3,1,3,1
2019-01-03 02:00:00,51.133,3,1,3,2
2019-01-03 03:00:00,49.768,3,1,3,3
2019-01-03 04:00:00,47.632,3,1,3,4
2019-01-03 05:00:00,59.011,3,1,3,5
2019-01-03 06:00:00,71.665,3,1,3,6
2019-01-03 07:00:00,73.502,3,1,3,7
2019-01-03 08:00:00,77.655,3,1,3,8
2019-01-03 09:00:00,88.614,3,1,3,9
2019-01-03 10:00:00,90.017,3,1,3,10
2019-01-03 11:00:00,75.004,3,1,3,11
2019-01-03 12:00:00,71.341,3,1,3,12
2019-01-03 13:00:00,84.021,3,1,3,13
2019-01-03 14:00:00,87.088,3,1,3,14
2019-01-03 15:00:00,76.599,3,1,3,15
2019-01-03 16:00:00,85.352,3,1,3,16
2019-01-03 17:00:00,86.059,3,1,3,17
2019-01-03 18:00:00,97.429,3,1,3,18
2019-01-03 19:00:00,136.161,3,1,3,19
2019-01-03 20:00:00,134.36,3,1,3,20
2019-01-03 21:00:00,116.968,3,1,3,21
2019-01-03 22:00:00,107.359,3,1,3,22
2019-01-03 23:00:00,83.957,3,1,3,23
2019-01-04 00:00:00,78.438,4,1,4,0
2019-01-04 01:00:00,68.719,4,1,4,1
2019-01-04 02:00:00,57.378,4,1,4,2
2019-01-04 03:00:00,48.752,4,1,4,3
2019-01-04 04:00:00,56.025,4,1,4,4
2019-01-04 05:00:00,57.185,4,1,4,5
