,Date_Time,kWh,day_of_month,month,day_of_week,hour,temp,rain,cloudcover,radiatiation,windspeed_10m,windspeed_100m
0,2019-01-01 00:00:00,54.004,1,1,1,0,6.2,0.0,100.0,0.0,10.2,19.4
1,2019-01-01 01:00:00,57.139,1,1,1,1,6.0,0.0,100.0,0.0,10.9,20.7
2,2019-01-01 02:00:00,52.605,1,1,1,2,5.8,0.0,100.0,0.0,12.3,22.5
3,2019-01-01 03:00:00,53.1,1,1,1,3,5.4,0.0,100.0,0.0,12.9,23.1
4,2019-01-01 04:00:00,43.413,1,1,1,4,5.2,0.0,100.0,0.0,13.9,25.0
5,2019-01-01 05:00:00,39.792,1,1,1,5,5.1,0.0,100.0,0.0,14.1,24.8
6,2019-01-01 06:00:00,57.691,1,1,1,6,5.0,0.0,100.0,0.0,15.0,26.4
7,2019-01-01 07:00:00,55.196,1,1,1,7,5.8,0.0,100.0,0.0,16.3,28.5
8,2019-01-01 08:00:00,46.097,1,1,1,8,5.8,0.0,100.0,3.0,17.7,29.9
9,2019-01-01 09:00:00,53.993,1,1,1,9,5.8,0.0,90.0,18.0,18.7,30.2
10,2019-01-01 10:00:00,63.437,1,1,1,10,5.7,0.0,90.0,36.0,18.0,29.5
11,2019-01-01 11:00:00,83.69,1,1,1,11,5.7,0.1,99.0,64.0,18.5,30.4
12,2019-01-01 12:00:00,101.448,1,1,1,12,5.6,0.1,100.0,55.0,19.8,32.4
13,2019-01-01 13:00:00,100.225,1,1,1,13,5.4,0.1,100.0,39.0,21.2,34.1
14,2019-01-01 14:00:00,94.794,1,1,1,14,5.3,0.2,100.0,20.0,21.1,34.8
15,2019-01-01 15:00:00,112.56,1,1,1,15,5.2,0.3,100.0,9.0,21.8,35.8
16,2019-01-01 16:00:00,101.649,1,1,1,16,5.3,0.3,100.0,0.0,21.6,35.6
17,2019-01-01 17:00:00,95.952,1,1,1,17,5.4,0.2,100.0,0.0,22.0,36.0
18,2019-01-01 18:00:00,101.599,1,1,1,18,5.4,0.3,83.0,0.0,23.8,39.1
19,2019-01-01 19:00:00,115.515,1,1,1,19,4.9,0.6,51.0,0.0,22.9,38.5
20,2019-01-01 20:00:00,111.27,1,1,1,20,4.3,0.0,68.0,0.0,21.9,37.2
21,2019-01-01 21:00:00,99.482,1,1,1,21,3.7,0.1,70.0,0.0,21.4,36.4
22,2019-01-01 22:00:00,89.15,1,1,1,22,3.1,0.2,100.0,0.0,19.2,33.5
23,2019-01-01 23:00:00,72.751,1,1,1,23,2.5,0.2,100.0,0.0,20.1,33.4
24,2019-01-02 00:00:00,67.584,2,1,2,0,2.1,0.1,100.0,0.0,21.1,35.0
25,2019-01-02 01:00:00,58.206,2,1,2,1,1.6,0.1,69.0,0.0,22.1,36.7
26,2019-01-02 02:00:00,46.744,2,1,2,2,1.4,0.0,93.0,0.0,22.3,37.4
27,2019-01-02 03:00:00,47.855,2,1,2,3,1.4,0.0,98.0,0.0,22.3,36.9
28,2019-01-02 04:00:00,43.046,2,1,2,4,1.7,0.0,94.0,0.0,22.7,37.5
29,2019-01-02 05:00:00,47.362,2,1,2,5,2.1,0.0,97.0,0.0,22.5,37.0
30,2019-01-02 06:00:00,68.484,2,1,2,6,2.4,0.0,59.0,0.0,20.5,34.2
31,2019-01-02 07:00:00,65.667,2,1,2,7,1.9,0.0,41.0,0.0,17.7,30.9
32,2019-01-02 08:00:00,62.583,2,1,2,8,1.7,0.0,45.0,11.0,16.6,29.0
33,2019-01-02 09:00:00,82.273,2,1,2,9,2.1,0.0,49.0,73.0,17.6,30.9
34,2019-01-02 10:00:00,86.764,2,1,2,10,2.4,0.1,74.0,140.0,17.6,26.6
35,2019-01-02 11:00:00,81.843,2,1,2,11,3.0,0.0,59.0,193.0,19.1,28.7
36,2019-01-02 12:00:00,74.348,2,1,2,12,2.8,0.2,48.0,201.0,21.4,32.4
37,2019-01-02 13:00:00,95.477,2,1,2,13,2.6,0.0,18.0,167.0,21.1,33.0
38,2019-01-02 14:00:00,98.546,2,1,2,14,2.4,0.0,7.0,134.0,20.0,32.2
39,2019-01-02 15:00:00,88.697,2,1,2,15,1.9,0.0,12.0,64.0,17.9,30.1
40,2019-01-02 16:00:00,92.141,2,1,2,16,1.2,0.0,16.0,4.0,16.5,29.3
41,2019-01-02 17:00:00,80.741,2,1,2,17,0.7,0.0,35.0,0.0,15.7,28.7
42,2019-01-02 18:00:00,92.562,2,1,2,18,0.4,0.0,52.0,0.0,15.7,28.0
43,2019-01-02 19:00:00,119.617,2,1,2,19,0.4,0.0,76.0,0.0,14.8,26.6
44,2019-01-02 20:00:00,116.041,2,1,2,20,0.2,0.0,92.0,0.0,14.3,25.5
45,2019-01-02 21:00:00,107.069,2,1,2,21,-0.0,0.0,87.0,0.0,13.9,24.0
46,2019-01-02 22:00:00,103.282,2,1,2,22,-0.4,0.0,63.0,0.0,11.9,21.6
47,2019-01-02 23:00:00,84.721,2,1,2,23,-0.7,0.0,44.0,0.0,10.9,20.3
48,2019-01-03 00:00:00,66.444,3,1,3,0,-0.9,0.0,71.0,0.0,12.0,21.2
49,2019-01-03 01:00:00,59.05,3,1,3,1,-1.1,0.0,71.0,0.0,13.2,23.0
50,2019-01-03 02:00:00,51.133,3,1,3,2,-1.3,0.0,42.0,0.0,12.4,21.9
51,2019-01-03 03:00:00,49.768,3,1,3,3,-1.5,0.0,21.0,0.0,11.4,20.8
52,2019-01-03 04:00:00,47.632,3,1,3,4,-1.7,0.0,14.0,0.0,10.8,20.8
53,2019-01-03 05:00:00,59.011,3,1,3,5,-2.0,0.0,4.0,0.0,10.8,20.8
54,2019-01-03 06:00:00,71.665,3,1,3,6,-2.2,0.0,18.0,0.0,9.2,19.4
55,2019-01-03 07:00:00,73.502,3,1,3,7,-2.6,0.0,28.0,0.0,8.6,17.6
56,2019-01-03 08:00:00,77.655,3,1,3,8,-2.7,0.0,25.0,12.0,9.0,17.1
